mission,id,star_id,label,period_days,duration_hours,depth_ppm,planet_radius_re,stellar_teff_k,stellar_logg_cgs,stellar_radius_rsun,mag_kepler,mag_tess,insolation_earth,eqt_k,snr_like,period_errw,duration_errw,depth_errw,prad_errw,teff_errw,logg_errw,srad_errw,insol_errw,eqt_errw,period_days__missing,duration_hours__missing,depth_ppm__missing,planet_radius_re__missing,stellar_teff_k__missing,stellar_logg_cgs__missing,stellar_radius_rsun__missing,mag_kepler__missing,mag_tess__missing,insolation_earth__missing,eqt_k__missing,snr_like__missing,period_errw__missing,duration_errw__missing,depth_errw__missing,prad_errw__missing,teff_errw__missing,logg_errw__missing,srad_errw__missing,insol_errw__missing,eqt_errw__missing,log_period,log_duration_h,log_depth_ppm,duty_cycle,depth_per_hour,star_multiplicity,depth_ppm__rank_in_star,snr_like__rank_in_star,period_days__rank_in_star,star_depth_mean,star_depth_std,star_depth_cv,depth_over_radii_model,snr_proxy,eqt_over_teff,log_depth_over_radii_model,log_snr_proxy
Kepler,8127586,8127586,False Positive,16.6094904,3.189,272.9,1.82,6047.0,4.395,1.05,14.926,0.0,81.28,766.0,12.7,0.0002824,0.456,50.8,0.8400000000000001,399.0,0.3,0.485,106.72,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.868437983986049,1.432462041964898,5.612763076269032,0.0079999444173193,85.57541549074945,1,1.0,1.0,1.0,272.9,0.0,0.0,1.080681618018994,5.372047244094488,0.1266743839920621,0.7326955410016612,1.8519208063477623
Kepler,3345973,3345973,False Positive,15.3466028,4.966,238.5,3.64,6771.0,3.934,2.259,14.335,0.0,480.12,1194.0,13.0,0.0004856,0.808,44.0,1.5299999999999998,162.0,0.315,0.947,440.48,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.794020095937532,1.7860766860925568,5.4785534168509695,0.0134828971182251,48.02658074909384,1,1.0,1.0,1.0,238.5,0.0,0.0,1.0928900811913804,5.420454545454546,0.1763402747009304,0.7385459247371342,1.8594889166682345
TESS,137903329,137903329,Planet,7.3405675,3.2557004,11139.7005929,16.7317044,5828.81,4.14418,1.4372801,0.0,13.9154,378.0645504,1124.6340774,0.0,0.000185,0.562429,1633.80152,1.9959814,251.836,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.1211312596192102,1.4482593548246754,9.318360401351187,0.0184800675606257,3421.5988034095526,1,1.0,1.0,1.0,11139.7005929,0.0,0.0,0.9779899306425706,6.818270430364149,0.1929440275802436,0.6820811425114104,2.056463357507252
Kepler,10387742,10387742,Candidate,3.03267135,1.774,42.4,0.6,5640.0,4.492,0.921,12.623,0.0,468.31,1187.0,15.6,2.748e-05,0.244,6.4,0.12,214.0,0.158,0.192,279.38,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3944290223649218,1.0202903218926398,3.770459441106359,0.0243734510390209,23.900789177001126,2,2.0,1.0,1.0,78.35,50.84097756731277,0.6488956932650003,1.1886144966630774,6.624999999999999,0.2104609929078014,0.7832686936954646,2.031432322493475
K2,277128619,277128619,Planet,21.4921464,4.199,5960.0,9.09747,5520.0,4.34,1.11,0.0,11.9545,22.7774,608.0,0.0,0.0001698,0.422,4.23498,1.025298,254.2,0.16,0.12,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.113166199389743,1.6484662994015786,8.692993531219926,0.0081405705171137,1419.3855679923793,1,1.0,1.0,1.0,5960.0,0.0,0.0,1.055624252963264,1407.3265989449771,0.1101449275362318,0.7205795745501188,7.250157469297514
TESS,137906197,137906197,Planet,7.3377236,4.243,795.0,3.2807,5994.0,4.4,1.1,0.0,9.91008,998.435,1566.0,0.0,8.04e-05,2.278,149.0208,0.442334,242.0,0.16,0.1,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.120790229472835,1.656893853590396,6.679599185844383,0.0240935304058968,187.36742870610416,1,1.0,1.0,1.0,795.0,0.0,0.0,1.0633539979198854,5.334825742446692,0.2612612612612612,0.7243328131251996,1.8460623062829664
Kepler,12835139,12835139,False Positive,350.609298,1.621,369.5,3.88,6658.0,3.934,1.992,13.329,0.0,6.37,405.0,3.6,0.015636,0.712,197.0,2.82,437.0,0.495,1.4489999999999998,10.99,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.862520610285027,0.9635559243412692,5.914853444736141,0.0001926408314096,227.94571252313384,1,1.0,1.0,1.0,369.5,0.0,0.0,1.158745515093609,1.8756345177664973,0.0608290778011414,0.7695272729287572,1.0562733517300724
K2,EPIC 220401029:EPIC 220401029.01,EPIC 220401029,Candidate,4.49161,0.0,0.0,2.01,0.0,0.0,0.823,0.0,0.0,0.0,0.0,0.0,0.0010799999999999,0.0,0.0,0.99,0.0,0.0,0.133,0.0,0.0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1.70322147300258,9.999995000003334e-07,9.999999995e-10,9.276554880469736e-09,0.001,1,1.0,1.0,1.0,0.0,0.0,0.0,1.994646604817777e-12,0.0,0.0,9.999999995e-10,9.999999995e-10
K2,EPIC 212311834:EPIC 212311834.01,EPIC 212311834,Candidate,17.788652,0.0,0.0,47.8,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.000327,0.0,0.0,49.2,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,2.933253070564529,9.999995000003334e-07,9.999999995e-10,2.3423172630881006e-09,0.001,1,1.0,1.0,1.0,0.0,0.0,0.0,3.007667325947375e-15,0.0,0.0,9.999999995e-10,9.999999995e-10
TESS,71582156,71582156,Planet,5.4911302,1.9062098,448.451647,2.430675,5874.0,4.37711,1.10649,0.0,9.16067,337.3312542,1093.0345624,0.0,2.6e-05,0.5616786,64.73462,2.480725,238.636,0.151678,0.1028894,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8704366603927591,1.0668497579997984,6.108028277491502,0.0144643097942447,235.25828426650625,1,1.0,1.0,1.0,448.451647,0.0,0.0,1.1056437825885168,6.927539653434282,0.1860801093632958,0.7446212553352822,2.070342729427856
TESS,395171208,395171208,Planet,4.7201912,4.416,6710.0,15.2105,6696.0,4.08,1.8,0.0,9.03527,1112.85,1609.0,0.0,4.6e-06,0.186,122.3,1.305602,481.2,0.18,0.16,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.7440022314064778,1.689357535609974,8.811503250158239,0.0389814717674995,1519.4746376811593,1,1.0,1.0,1.0,6710.0,0.0,0.0,1.1179926696714828,54.865085854456254,0.2402927120669056,0.7504687862060314,4.022939602818245
Kepler,3442055,3442055,Candidate,29.6193891,4.9595,314.7,1.74,5618.0,4.401,0.996,13.331,0.0,26.79,580.0,42.5,0.0002206,0.1852,17.2,0.43,213.0,0.2,0.242,17.490000000000002,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.421633439018104,1.7849865849406263,5.754792395563946,0.0069767081500453,63.4539772154451,1,1.0,1.0,1.0,314.7,0.0,0.0,1.2268044134734504,18.296511627906977,0.1032395870416518,0.800567559305425,2.9599243349065216
Kepler,6936966,6936966,False Positive,36.4721523,2.673,52.6,0.7,5853.0,4.529,0.895,11.894,0.0,18.29,527.0,7.7,0.001736,1.236,19.0,0.21,291.0,0.19,0.27,15.77,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.623598051775109,1.3010087668375303,3.981549068076757,0.0030536996852801,19.67826412270857,1,1.0,1.0,1.0,52.6,0.0,0.0,1.0230435962943123,2.768421052631579,0.0900392960874765,0.7046031082718972,1.3266560948001596
Kepler,4484336,4484336,Candidate,8.94337724,2.469,215.1,1.48,6074.0,4.375,1.005,14.169,0.0,188.93,946.0,18.4,8.832e-05,0.256,26.8,0.66,362.0,0.3309999999999999,0.45,229.17,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2969067255377023,1.2438663679876123,5.3757412635128405,0.0115029252640583,87.12029161603888,1,1.0,1.0,1.0,215.1,0.0,0.0,1.180069293102975,8.026119402985074,0.1557458017780704,0.7793566621228917,2.2001225300991707
Kepler,4587448,4587448,False Positive,2.23416013,2.12,0.0,0.0,0.0,0.0,0.0,13.411,0.0,2156.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5543.12,0.0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1.173769274462197,1.1378330018213911,9.999999995e-10,0.0395376016907675,4.716981132075472e-10,1,1.0,1.0,1.0,0.0,0.0,0.0,1.1897573776e-11,0.0,0.0,9.999999995e-10,9.999999995e-10
TESS,171922657,171922657,Candidate,5.01345,3.437,7627.0,9.1986,5505.9,4.36,1.07,0.0,12.9713,278.509,1138.0,0.0,5.28e-05,0.562,647.162,1.18459,234.2,0.16,0.12,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.7939986271085415,1.4899784723967724,8.93958096672031,0.02856482728128,2219.086412569101,1,1.0,1.0,1.0,7627.0,0.0,0.0,1.2278243450036583,11.785302598112992,0.2066873717285094,0.8010254791920551,2.548296276676828
K2,EPIC 212577658:EPIC 212577658.01,EPIC 212577658,Candidate,14.069121,0.0,0.0,1.8,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.002081,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,2.7126476831336883,9.999995000003334e-07,9.999999995e-10,2.961568577501513e-09,0.001,5,3.0,3.0,2.0,0.0,0.0,0.0,2.591027177884444e-12,0.0,0.0,9.999999995e-10,9.999999995e-10
Kepler,10735519,10735519,False Positive,1.814128042,3.0646,2063.6,426.98,4822.0,2.662,12.899,11.78,0.0,47891.79,3773.0,163.9,2.074e-06,0.05,29.6,250.32,153.0,0.29,7.561999999999999,55123.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.034652459433853,1.4023153371740695,7.63269178203149,0.07038735067779,673.3668341708542,1,1.0,1.0,1.0,2063.6,0.0,0.0,0.0224068571514741,69.71621621621621,0.7824554126918292,0.0221595115351856,4.258674913168038
Kepler,10788461,10788461,Candidate,2.5903958,2.088,330.9,2.55,5678.0,4.215,1.303,14.026,0.0,1147.44,1484.0,18.3,0.0003306,0.21,41.2,1.33,359.0,0.41,0.682,1510.15,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.278262447119405,1.1275236321625297,5.804833718725929,0.0335856010884514,158.47701149425285,3,3.0,2.0,1.0,638.8,523.3707385783046,0.8193029721012909,1.0279302441553693,8.031553398058252,0.2613596336738288,0.7070156887642759,2.200724378997096
