pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
EPIC 211411891.01,EPIC 211411891,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.954863,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5544.91,112,-103.02,0,0.926751,0.050689,-0.03922,0,0.98,0.15406,-0.094884,0,0.041,0.033,-0.033,0,[M/H],4.49537,0.061921,-0.089532,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h05m58.97s,136.4957157,+11d49m10.87s,11.8196859,344.667,5.011,-4.872,12.987,0.057,-0.057,11.073,0.023,-0.023,12.785,0.00093,-0.00093,2/26/2019,2018-07,2/26/2019
EPIC 211413463.01,EPIC 211413463,1,CANDIDATE,Petigura et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,3.25182,0.000068,-0.000066,0,,,,,33.2,22.8,-18.5,0,2.96,2.03,-1.65,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,,,,0.63,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m39.55s,128.9148087,+11d50m36.66s,11.8435177,956.304,126.096,-100.568,18.13,0.2,-0.2,14.641,0.079,-0.079,17.3562,0.001215,-0.001215,12/14/2017,2018-01,12/14/2017
EPIC 211418290.01,EPIC 211418290,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,5.032134,0.000042,-0.000042,0,,,,,25.83,3.94,-0.37,0,2.304,0.352,-0.033,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,2.516,0.384,-0.033,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h37m12.53s,129.3022266,+11d54m56.67s,11.9157428,485.949,8.812,-8.812,12.145,0.042,-0.042,9.755,0.018,-0.018,11.5115,0.001629,-0.001629,9/5/2019,2019-09,9/5/2019
EPIC 211418290.01,EPIC 211418290,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,5.03207,0.000102,-0.000097,0,,,,,36.70955114,5.41183492,-3.93669759,0,3.28,0.48,-0.35,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5070,59,-59,0,3.685008,0.542531,-0.394357,0,,,,,-0.43,0.08,-0.08,0,[Fe/H],3.25,0.104,-0.104,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h37m12.53s,129.3022266,+11d54m56.67s,11.9157428,485.949,8.812,-8.812,12.145,0.042,-0.042,9.755,0.018,-0.018,11.5115,0.001629,-0.001629,2/15/2018,2018-03,2/15/2018
EPIC 211419451.01,EPIC 211419451,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,6.45795,0.00042,-0.0004,0,,,,,2.78,0.27,-0.67,0,0.248,0.024,-0.06,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.9389,0.0127,-0.006,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h37m47.84s,129.4493258,+11d55m57.87s,11.9327417,586.562,14.089,-13.455,14.225,0.172,-0.172,12.335,0.027,-0.027,14.0464,0.000236,-0.000236,9/5/2019,2019-09,9/5/2019
EPIC 211422822.01,EPIC 211422822,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.554633,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4729,123,-123,0,0.951566,,,0,0.76,,,0,,,,,,4.362,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h42m32.47s,130.6353009,+11d58m58.04s,11.98279,880.732,44.335,-40.357,15.938,0.252,-0.252,13.375,0.031,-0.031,15.6851,0.00133,-0.00133,2/26/2019,2018-07,2/26/2019
EPIC 211424769.01,EPIC 211424769,1,CANDIDATE,Mayo et al. 2018,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,5.176243,0.00004,-0.000041,0,,,,,19.44301811,24.92960053,-7.69972543,0,1.73,2.22,-0.69,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,6185,50,-50,0,1.118972,0.106996,-0.066423,0,,,,,-0.12,0.08,-0.08,0,[Fe/H],4.34,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m24.56s,128.8523248,+12d00m40.77s,12.0113257,121.882,0.722,-0.713,9.394,0.004,-0.004,7.949,0.026,-0.026,9.17856,0.000418,-0.000418,2/15/2018,2018-03,2/15/2018
EPIC 211424769.01,EPIC 211424769,0,CANDIDATE,Mayo et al. 2018,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,5.176,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6146,134.7,-115.17,0,1.35641,0.052605,-0.069686,0,1.166,0.194074,-0.131122,0,,,,,,4.23998,0.096178,-0.071447,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m24.56s,128.8523248,+12d00m40.77s,12.0113257,121.882,0.722,-0.713,9.394,0.004,-0.004,7.949,0.026,-0.026,9.17856,0.000418,-0.000418,7/18/2016,2016-10,7/18/2016
EPIC 211425822.01,EPIC 211425822,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2.153178,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5523,124,-124,0,0.997379,,,0,0.97,,,0,,,,,,4.42712,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h10m06.05s,137.5252038,+12d01m41.35s,12.0281523,1039.39,48.4,-44.368,15.226,0.115,-0.115,13.5,0.06,-0.06,15.0642,0.001757,-0.001757,2/26/2019,2018-07,2/26/2019
EPIC 211428897.01,EPIC 211428897,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.610888,0.000039,-0.000034,0,,,,,0.82,0.17,-0.19,0,0.073,0.015,-0.017,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.299,0.056,-0.033,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,9/5/2019,2019-09,9/5/2019
EPIC 211428897.01,EPIC 211428897,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,1.611,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3511,157,-157,0,0.409602,0.012377,-0.012377,0,0.402278,0.020405,-0.020405,0,,,,,,4.81787,0.004206,-0.004206,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,7/18/2016,2016-10,7/18/2016
EPIC 211428897.01,EPIC 211428897,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,1.610911,0.000073,-0.000073,0,,,,,1.5,0.7,-0.6,0,0.13,0.06,-0.05,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,,,,0.56,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,12/14/2017,2018-01,12/14/2017
EPIC 211428897.01,EPIC 211428897,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,1.61092,0.00006,-0.00006,0,,,,,0.75,0.08,-0.08,0,0.067,0.007,-0.007,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3511,157,-157,0,0.409602,0.012377,-0.012377,0,0.402278,0.020405,-0.020405,0,,,,,,4.81787,0.004206,-0.004206,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,12/14/2017,2017-11,12/14/2017
EPIC 211428897.02,EPIC 211428897,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,2.17807,0.00012,-0.00012,0,,,,,0.65,0.07,-0.07,0,0.058,0.006,-0.006,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3511,157,-157,0,0.409602,0.012377,-0.012377,0,0.402278,0.020405,-0.020405,0,,,,,,4.81787,0.004206,-0.004206,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,12/14/2017,2017-11,12/14/2017
EPIC 211428897.02,EPIC 211428897,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2.178008,0.000082,-0.000083,0,,,,,0.67,0.13,-0.1,0,0.06,0.012,-0.009,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.299,0.056,-0.033,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,9/5/2019,2019-09,9/5/2019
EPIC 211428897.02,EPIC 211428897,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,2.177846,0.000188,-0.000206,0,,,,,1.2,0.5,-0.5,0,0.11,0.04,-0.04,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,,,,0.56,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,12/14/2017,2018-01,12/14/2017
EPIC 211428897.03,EPIC 211428897,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,4.96792,0.00029,-0.00028,0,,,,,0.75,0.15,-0.12,0,0.067,0.013,-0.011,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.299,0.056,-0.033,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,9/5/2019,2019-09,9/5/2019
EPIC 211428897.03,EPIC 211428897,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,4.96883,0.00038,-0.00037,0,,,,,0.67,0.08,-0.08,0,0.06,0.007,-0.007,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3511,157,-157,0,0.409602,0.012377,-0.012377,0,0.402278,0.020405,-0.020405,0,,,,,,4.81787,0.004206,-0.004206,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,12/14/2017,2017-11,12/14/2017
EPIC 211428897.04,EPIC 211428897,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,6.26561,0.00069,-0.0007,0,,,,,0.77,0.17,-0.48,0,0.069,0.015,-0.043,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.299,0.056,-0.033,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,9/5/2019,2019-09,9/5/2019
EPIC 211428897.05,EPIC 211428897,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,3.28963,0.00077,-0.00089,0,,,,,0.51,0.11,-0.21,0,0.045,0.0098,-0.019,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.299,0.056,-0.033,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h35m25.74s,128.8572472,+12d04m31.43s,12.075397,80.63539,,,14.094,0.06,-0.06,9.624,0.023,-0.023,13.3119,0.000931,-0.000931,9/5/2019,2019-09,9/5/2019
EPIC 211429934.01,EPIC 211429934,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.565934,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5309,145,-145,0,1.55349,,,0,0.91,,,0,,,,,,4.01449,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h06m08.02s,136.5334223,+12d05m30.63s,12.0918411,1311.54,109.6,-94.34,14.638,0.069,-0.069,12.819,0.048,-0.048,14.7956,0.006258,-0.006258,2/26/2019,2018-07,2/26/2019
EPIC 211430148.01,EPIC 211430148,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,15.091257,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5369,122,-122,0,1.55474,,,0,0.93,,,0,,,,,,4.02323,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m39.37s,130.1640344,+12d05m43.34s,12.0953726,1356.66,80.1,-71.83,15.181,0.229,-0.229,13.071,0.028,-0.028,14.8672,0.000256,-0.000256,2/26/2019,2018-07,2/26/2019
EPIC 211431013.01,EPIC 211431013,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,3.102398,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5483.32,35.26,-35.26,0,1.85351,,,0,0.96,,,0,0.034,0.033,-0.033,0,[M/H],3.88435,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m13.70s,133.0570679,+12d06m33.86s,12.1094069,1639.65,113.055,-113.055,15.026,0.217,-0.217,12.895,0.028,-0.028,14.8095,0.000879,-0.000879,2/26/2019,2018-07,2/26/2019
EPIC 211432103.01,EPIC 211432103,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,0.93346092,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6035.64,161.48,-101.01,0,2.62165,0.171881,-0.088134,0,1.12,0.152437,-0.152356,0,0.219,0.0092,-0.0092,0,[M/H],3.65014,0.090469,-0.077922,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h55m24.59s,133.8524535,+12d07m35.94s,12.1266489,323.037,4.951,-4.807,10.15,0.005,-0.005,8.639,0.023,-0.023,9.99209,0.000294,-0.000294,12/21/2016,2016-10,12/21/2016
EPIC 211432167.01,EPIC 211432167,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,5.817737,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6290.85,93.34,-152.55,0,3.03613,0.18348,-0.10556,0,1.232,0.198945,-0.161692,0,-0.2292,0.0058,-0.0058,0,[M/H],3.56404,0.077732,-0.094946,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h51m27.29s,132.8637222,+12d07m40.07s,12.1277962,177.059,3.154,-3.047,8.235,0.002,-0.002,7.086,0.024,-0.024,8.14487,0.000347,-0.000347,2/26/2019,2018-07,2/26/2019
EPIC 211432176.01,EPIC 211432176,1,FALSE POSITIVE,Yu et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,5.817854,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h51m27.44s,132.864341,+12d07m40.20s,12.1278338,174.516,5.228,-4.937,10.2443,0.0543,-0.0543,,,,10.0918,0.000837,-0.000837,2/26/2019,2018-07,2/26/2019
